PhoneNumber,UserPrincipalName
+12345678901,user2@DOAMIN.TLD
+14741766023,user3@DOAMIN.TLD
+12345678901,user4@DOAMIN.TLD
+17021882231,user5@DOAMIN.TLD
+19626383272,user6@DOAMIN.TLD
+15117754655,user7@DOAMIN.TLD
+10791552470,user8@DOAMIN.TLD
+17575442987,user9@DOAMIN.TLD
+14931264651,user10@DOAMIN.TLD
+13016402195,user11@DOAMIN.TLD
+17298412742,user12@DOAMIN.TLD
+16789817323,user13@DOAMIN.TLD
+18886460335,user14@DOAMIN.TLD
+19507454086,user15@DOAMIN.TLD
+18685354000,user16@DOAMIN.TLD
+13532633771,user17@DOAMIN.TLD
+13500262120,user18@DOAMIN.TLD
+14859514316,user19@DOAMIN.TLD
